_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1228,Under Review,22 177066 NNY 15 OZ,2022-07-14,"Zoning By-law Amendment for a 31-storey (102.25 metre height) residential and commercial mixed-use building. 434 residential units are proposed with  550 square metres of retail. The total gross floor area of the project is 29,500 square metres (FSI  13.",2 GLAZEBROOK AVE,15,28268.7,557,28825.7,428,http://app.toronto.ca/AIC/index.do?folderRsn=u3lv%2FdqCRE6kLoVvxIUIbA%3D%3D
1229,Under Review,24 226540 STE 10 OZ,2024-10-15,Combined Official Plan Amendment (OPA) & Zoning By-law Amendment (ZBA) for a 7-storey building containing 42 units.,14 GRANGE AVE,10,2088.7,0,2088.7,42,http://app.toronto.ca/AIC/index.do?folderRsn=2X1BQsoz%2Bk5fv5qx99Ex5Q%3D%3D
1230,Active,18 172768 STE 22 OZ,2018-06-06,Application to amend the Official Plan and Zoning By-law to permit a 13-storey building (49.65 metres to the top of the mechanical penthouse). The proposal includes 51 residential units as well as 93 parking spaces in a three level underground parking ga,276 MERTON ST,12,7652,0,7652,91,http://app.toronto.ca/AIC/index.do?folderRsn=mrbZDT9XWKWMjiAMIkJ3mA%3D%3D
1231,Active,18 162912 ESC 35 SA,2018-05-22,"Current Proposal and sixth circulation: proposal for a 9-storey mixed-use building plus mechanical penthouse with 206 dwelling units; 1,615.9 square metres of retail space at grade. Minor Variances were approved on September 22, 2021 under File Number A0",743 WARDEN AVE,20,12637.6,1615.9,14253.5,206,http://app.toronto.ca/AIC/index.do?folderRsn=nvH6YNTV9qJHrALKuBCRFg%3D%3D
1232,Under Review,24 228228 STE 10 OZ,2024-10-18,"Zoning By-law Amendment application for  a 49-storey mixed use building (not including mechanical penthouse), containing approximately 128 square metres of non-residential floor area at grade, and 511 apartment dwelling units.The proposed development has",10 LOWER SPADINA AVE,10,32235.5,128.1,32363.6,511,http://app.toronto.ca/AIC/index.do?folderRsn=lYnkoevvHrAiu36DxEK7HQ%3D%3D
1233,Built,13 280729 STE 28 SA,2013-12-20,Site plan control application for the new St .Lawrence Market North building. The proposed building is 5 storeys in height (24.5 m).  The total proposed non-residential gross floor area is 9543 square metres and will include 250 underground parking space,92 FRONT ST E,13,0,9543.2,9543.2,0,http://app.toronto.ca/AIC/index.do?folderRsn=V2irPzsgOxI0kBILwzpVcg%3D%3D
1234,Active,22 184095 NNY 16 OZ,2022-07-29,"Proposed two residential towers of 55 and 48 storeys with 1128 residential units. A portion of existing listed heritage building (Japanese Canadian Cultural Centre) will be preserved. A total of 78,659.75 square metres of residential GFA are proposed (FS",123 WYNFORD DR,16,73705.71,313.13,74018.84,1126,http://app.toronto.ca/AIC/index.do?folderRsn=ToD0JyrGi06ecPalDexUdQ%3D%3D
1235,Active,19 202364 ESC 20 SA,2019-08-08,"The applicant had NOAC issued, however, it was not executed and the NOAC expired as the owner sold the business. The new Owner started a new SPA file with a new proposal (2021 250985 ESC 20 SA). This new owner also sold the business in the middle of the",43 UPTON RD,20,0,6217.9,6217.9,0,http://app.toronto.ca/AIC/index.do?folderRsn=AATpdU6FCDmZdKHQNk9vBQ%3D%3D
1236,Active,19 210278 STE 10 OZ,2019-08-22,"Zoning By-law amendment application to permit a 60-storey mixed-use building consisting of a 13-storey office podium, and a 47-storey residential tower above.  The proposal includes 14,540 m2 non-residential floor area and 512 dwelling units.",145 WELLINGTON ST W,10,54007.8,206.3,54214.1,861,http://app.toronto.ca/AIC/index.do?folderRsn=4hRhI3t64VdNzfY4vst%2FMA%3D%3D
1237,Built,18 263017 NNY 24 SA,2018-11-30,"Two residential towers, 18 and 29 storeys with five levels of underground parking, 30 townhouses (3 storey and stacked townhouse form) which are all part of one building having access either from an internal corridor or direct access at grade.  A two sto",1001 SHEPPARD AVE E,17,41466.03,0,41466.03,466,http://app.toronto.ca/AIC/index.do?folderRsn=bery6%2FbWivyfU3se1SVKCw%3D%3D
1238,Built,18 260298 STE 27 OZ,2018-11-23,"Zoning By-law Amendment application to permit a 13-storey (65 metres, including mechanical penthouse) institutional building with a gross floor area of approximately 17,900 square metres. The existing building on the site would be demolished.",112 COLLEGE ST,11,0,17270,17270,0,http://app.toronto.ca/AIC/index.do?folderRsn=YTUk8t0ctD8V2p5Ftpb4sg%3D%3D
1239,Under Review,21 182017 WET 05 OZ,2021-07-09,"5 and 43 Junction Road   The revised application seeks approval for the redevelopment of 5 and 43 Junction Road, proposing the construction of six residential towers with heights ranging from 15 to 35 storeys. These towers will feature mid-rise podiums t",43 JUNCTION RD,5,124834.06,3094.64,127928.7,2001,http://app.toronto.ca/AIC/index.do?folderRsn=NOiPftWh4Yv5Dy1fWoqfVg%3D%3D
1240,Active,17 183044 STE 30 OZ,2017-06-19,"A request to rezone the lands at 1001 Queen Street East to allow a six storey building totalling 20 metres in height with ground floor retail and residential above.  2,364 m2 of residential gross floor area and 254 m2 retail gross floor area are propose",1001 QUEEN ST E,14,2342.1,144.3,2486.4,28,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4188193&isCofASearch=false
1241,Active,19 228020 NNY 06 SA,2019-09-27,Site Plan application for the proposal to construct a new 2 storey hospice with 12 resident rooms with administrastive and support spaces on existing vacant lot. The 12 resident rooms are located in the one storey block on the southern end of the site (B,25 BRIGHTWOOD ST,6,0,2061,2061,0,http://app.toronto.ca/AIC/index.do?folderRsn=D44dhHF8or95kkwYKbOG3g%3D%3D
1242,Active,17 173706 STE 22 OZ,2017-06-05,"This development application proposes to amend the Official Plan and Zoning By-law  to  permit a residential rental  building at 37 storeys in height including a 5-storey base building.  The proposed building would contain 352 apartment units, 126 reside",30 MERTON ST,12,24347.2,340.2,24687.4,322,http://app.toronto.ca/AIC/index.do?folderRsn=qdQpQEcnGuYfplWGPYKZNA%3D%3D
1243,Under Review,23 129052 NNY 06 OZ,2023-03-30,Application to amend the Official Plan and Zoning By-law to permit a 11-storey building containing 156 dwelling units and 388.82 square metres of at-grade commercial uses.,2801 KEELE ST,6,14310.49,615.38,14925.87,186,http://app.toronto.ca/AIC/index.do?folderRsn=bywyfCBepqI0NBMJpZSmcA%3D%3D
1244,Active,21 232816 WET 03 OZ,2021-11-01,"The application is proposing four development blocks, containing five buildings with two eight-storey midrise building components along Bloor Street West and five tower components with heights of 25, 36, 41, 43 and 45 storeys. The overall development pro",5230 DUNDAS ST W,3,149492,4859,154351,2387,http://app.toronto.ca/AIC/index.do?folderRsn=y21Z0QkdWsR1vB6XzcxT7A%3D%3D
1245,Active,16 208768 NNY 10 OZ,2016-08-17,"A 9-storey residential building containing 85 residential dwelling units and 84 parking spaces.LPAT approved on Apr 27, 2020, with conditions, will need more circs.",128 GORMAN PARK RD,6,14313.7,1060,15373.7,170,
1246,Built,18 146844 ESC 39 OZ,2018-04-20,Development comprising of 4 blocks of stacked townhomes comprising of 142 residential units.,3453 VICTORIA PARK AVE,22,13682,0,13682,142,http://app.toronto.ca/AIC/index.do?folderRsn=e3u7JmLUO9rWInhmtSt7aw%3D%3D
1247,Under Review,22 227435 STE 13 OZ,2022-11-08,"Zoning By-law and Official Plan amendment for a new 43-storey mixed-use building on the subject site. The existing 8-and-12-storey student residence will be retained on the subject site, with the northern-most bay of the northern 8-storey portion of that",398 CHURCH ST,13,28709,215,28924,456,http://app.toronto.ca/AIC/index.do?folderRsn=G17%2FYXA7OupndH8hqWb6Hg%3D%3D
1248,Under Review,18 154389 ESC 36 OZ,2018-05-07,"Application to amend the Official Plan and Zoning By-laws to permit the development of two residential apartment buildings at 80 Dale Avenue and parkland at 66 Dale Avenue. The apartment buildings would be 7 and 12-storeys in height, comprised of a total",80 DALE AVE,24,15552.9,0,15552.9,285,http://app.toronto.ca/AIC/index.do?folderRsn=Tt5vSXTTd8AyWM6qWhxhOg%3D%3D
1249,Built,18 135955 WET 17 OZ,2018-03-28,"11-storey midrise mixed-use building (Block A) and four blocks of townhouses (Blocks B-E), sitting on top of a two level below grade common parking garage. The application includes a total of 229 residential units consisting of 76 townhouse units located",423 OLD WESTON RD,9,18649,532,19181,229,http://app.toronto.ca/AIC/index.do?folderRsn=TBqQnfaZwHTcY344aKYaEg%3D%3D
1250,Active,16 264958 STE 32 OZ,2016-12-15,"Rezoning and OPA to allow a proposed 8-storey apartment building with 30 residential units and 39  below grade parking spaces.  Access from Kingston Road, total GFA of 4,170 m.sq, 3.3 FSI.",507 KINGSTON RD,19,6043,0,6043,90,http://app.toronto.ca/AIC/index.do?folderRsn=YiOP3zaw7X9w8wTxHoZroA%3D%3D
1251,Under Review,24 231270 STE 14 SA,2024-10-25,Site Plan Approval for the Pape Station as part of the Ontario Line Subway,680 DANFORTH AVE,14,0,1577,1577,0,http://app.toronto.ca/AIC/index.do?folderRsn=U0xQVVWi0EINBL612uipyA%3D%3D
1252,Active,21 189632 STE 13 OZ,2021-07-26,"Zoning By-law Amendment application to facilitate the development of the site for a 49-storey residential building.  The proposed residential gross floor area is 26,923 square metres.  A total of 483 residential dwelling units are proposed, of which, 32",383 SHERBOURNE ST,13,18792,0,18792,346,http://app.toronto.ca/AIC/index.do?folderRsn=kjIEqcDblyrTGKSKNGVIUg%3D%3D
1253,Under Review,22 108032 NNY 18 OZ,2022-01-27,Official Plan and Zoning By-law Amendment to facilitate the redevelopment of the site for two 14-storey mixed-use buildings having a total gross floor area of 29.476 square metres.  A total of 457 residential dwelling units are proposed.,6167 YONGE ST,18,28889,714,29603,461,http://app.toronto.ca/AIC/index.do?folderRsn=qYBjxDkf0CQZODyPSLY%2Bgw%3D%3D
1254,Active,20 160281 ESC 24 OZ,2020-06-25,"The owners have submitted an Official Plan Amendment application (Scarborough Centre Secondary Plan - Policy 6.3) to establish a cap on parkland dedication for the site. This OPA is associated with Site Plan Application No.19 256766 ESC 24 SA, which prop",5 CORPORATE DR,24,68276.87,725.45,69002.32,778,http://app.toronto.ca/AIC/index.do?folderRsn=v4wMJV4h9G0xM2h65fDgkw%3D%3D
1255,Under Review,18 225642 STE 20 OZ,2018-09-14,"Revised Zoning By-law Amendment application to facilitate the redevelopment of the subject site with a 9-storey office building having a height of 41.1 metres (including the Mechanical Penthouse), which will also include commercial uses within a 2-storey",578 KING ST W,10,0,4664.9,4664.9,0,http://app.toronto.ca/AIC/index.do?folderRsn=gUynnICt1y4TthCQIo2hZg%3D%3D
1256,Active,20 212119 WET 05 OZ,2020-10-28,"To amend the former City of North York Zoning By-law No. 7625 and City of Toronto Zoning By-law No. 569-2013 to permit a residential development  comprised of 8 semi-detached dwelling units and 20 townhouse units, situated within three blocks. The propos",349 QUEENS DR,5,6968,0,6968,28,http://app.toronto.ca/AIC/index.do?folderRsn=gRS0gikmZ9mEwKXdIO4JXA%3D%3D
1257,Built,13 180220 NNY 24 SA,2013-06-03,Proposal for 50 stacked townhouse dwelling units together with one level of underground parking on the northern portion of the subject lands.,784 SHEPPARD AVE E,17,4850,0,4850,50,
1258,Under Review,23 228917 WET 03 OZ,2023-11-23,"The proposed development consists of a 26-storey mixed use building, containing 352 dwelling units with retail uses at-grade. The proposed net density is 8.83 times the area of the lot. The total building height is 80.47 metres, exclusive of the 5-metre-",210 ISLINGTON AVE,3,22202.65,1000,23202.65,352,http://app.toronto.ca/AIC/index.do?folderRsn=vjC6381trpkrM9f6buKJOw%3D%3D
1259,Active,13 244451 ESC 40 OZ,2013-10-01,City Initiated Zoning By-law amendment of the northern portion of 1251 Bridletowne Circle to permit a  multi-purpose community centre.,1355 BRIDLETOWNE CRCL,22,0,12932,12932,0,
1260,Built,13 162096 WET 07 OZ,2013-05-03,Proposed amendments to the City of North York Zoning By-law No. 7625 to permit the development of 21 residential semidetached buildings (42 dwellings).  See folder 13 162112 WET 07 SB for related subdivision application.,135 PLUNKETT RD,7,6520,0,6520,42,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3347282&isCofASearch=false
1261,Active,21 125701 STE 13 OZ,2021-03-11,"Proposal for a 32-storey mixed-use building having a non-residential gross floor area of 377 square metres, and a residential gross floor area of 21,124 square metres.  The proposal includes the creation of 310 purpose-built rental units.",412 CHURCH ST,13,22418,282,22700,311,http://app.toronto.ca/AIC/index.do?folderRsn=S%2Bw4dM1%2FSATjiantTnimbw%3D%3D
1262,Under Review,23 224338 STE 09 SA,2023-11-09,"Construction of the King-Liberty SmartTrack station, including three station entrances outside the rail corridor, two pedestrian bridges and an island platform to serve Kitchener Corridor tracks inside the rail corridor",0 SUDBURY ST,9,0,659.818,359.82,0,http://app.toronto.ca/AIC/index.do?folderRsn=FMV6Zd1Acan5bIO%2F33qmjA%3D%3D
1263,Active,22 191848 STE 11 OZ,2022-08-17,"Official Plan and Zoning By-law Amendment applications to permit a 12-storey mixed-use building, containing 155 residential units and 30 square metres of commercial space.  The Official Plan Amendment is required to permit the proposed height and built f",914 BATHURST ST,11,10824,69,10893,135,http://app.toronto.ca/AIC/index.do?folderRsn=2%2BZE75RWFu%2FmbqNOSt%2BwDg%3D%3D
1264,Built,20 228791 ESC 20 SA,2020-12-14,Development comprising of a new 6 story mixed-use building with commercial on the ground floor and residential above.,2380 KINGSTON RD,20,2586.16,107.96,2694.12,39,http://app.toronto.ca/AIC/index.do?folderRsn=xLA%2Br7lkWky38dZmVEU1Lg%3D%3D
1265,Under Review,24 233888 WET 03 SA,2024-11-01,Proposed 1-storey industrial condominium building.,429 KIPLING AVE,3,0,10486.17,10486.17,0,http://app.toronto.ca/AIC/index.do?folderRsn=%2Bvmf7en0f9fxrB%2FfwKr2fg%3D%3D
1266,Under Review,21 164108 ESC 22 OZ,2021-06-01,"Demolish the existing 1-storey commercial plaza and replace it with a 10-storey  mixed-use building with 320m2 of retail, 194 units and two below-grade parking levels totalling 184 vehicular and 157 bicycle parking spaces.",2240 BIRCHMOUNT RD,22,13276,320,13596,194,http://app.toronto.ca/AIC/index.do?folderRsn=eAw41IXSwWrlSiCiKbUomQ%3D%3D
1267,Under Review,22 114201 WET 05 OZ,2022-02-14,"The proposed development will have a podium element with ground-level units. The podium will rise to 4 storeys as the street wall height, with the 5th and 6th storeys stepped back from the street. The tower portion will step back further and sit atop the",9 OXFORD DR,5,24435,0,24435,362,http://app.toronto.ca/AIC/index.do?folderRsn=wRud%2FNRqFCT%2BLe6yNOWBZQ%3D%3D
1268,Active,20 161691 ESC 23 SA,2020-06-30,"Proposed addition to link the two existing industrial buildings. The addition is 4,037 square metres including warehouse and an office space in the front of the building. The total proposed gross floor area is 10,995 square metres which results in a floo",40 PULLMAN CRT,23,0,4745,4745,0,http://app.toronto.ca/AIC/index.do?folderRsn=LPsKFo6adZZprDNLU829VQ%3D%3D
1269,Built,19 264742 NNY 18 OZ,2019-12-24,"Zoning Bylaw Amendment application to demolish the single detached dwelling at 5 Kenton Drive in order to expand the existing residential care facility (Alzheimer's and dementia care) to accommodate a total of 73 bed-sitting rooms at 1, 3 and 5 Kenton Dr",1 KENTON DR,18,0,1373.4,1373.4,0,http://app.toronto.ca/AIC/index.do?folderRsn=Gv63INIoTwlHoDlhqPRcFw%3D%3D
1270,Active,22 210125 STE 14 OZ,2022-09-27,"OPA and Rezoning for a  10-storey mixed-use building (including mezzanine) having a non-residential gross floor area of 213.5 square metres, and a residential gross floor area of 5,485.4 square metres.  A total of 70 dwelling units are proposed.",929 QUEEN ST E,14,5477,201,5678,70,http://app.toronto.ca/AIC/index.do?folderRsn=PV1GWskBQ29iOXIWd5ZOJw%3D%3D
